"","pollster","fte_grade"
"1","Monmouth University","A+"
"2","Selzer & Co.","A+"
"3","ABC News/The Washington Post","A+"
"4","Siena College/The New York Times Upshot","A+"
"5","Field Research Corp. (Field Poll)","A/B"
"6","Marquette University Law School","A/B"
"7","Muhlenberg College","A+"
"8","Marist College","A+"
"9","Data Orbital","A/B"
"10","National Journal","A/B"
"11","Stockton University","A/B"
"12","SurveyUSA","A"
"13","Ciruli Associates","A/B"
"14","MassINC Polling Group","A/B"
"15","Fairleigh Dickinson University (PublicMind)","A/B"
"16","CBS News/The New York Times","A"
"17","Grove Insight","A/B"
"18","Behavior Research Center (Rocky Mountain Poll)","A/B"
"19","Western New England University","A/B"
"20","Suffolk University","A"
"21","IBD/TIPP","A/B"
"22","Los Angeles Times","A/B"
"23","Michigan State University","A/B"
"24","University of Connecticut","A/B"
"25","University of Cincinnati (Ohio Poll)","A/B"
"26","Temple University","A/B"
"27","Fox News/Beacon Research/Shaw & Co. Research","A-"
"28","Castleton University","A/B"
"29","KRC/Communications Research","A/B"
"30","Wirthlin Worldwide","A/B"
"31","Indiana University","A/B"
"32","Siena College","A-"
"33","Louis Harris & Associates","A/B"
"34","Market Strategies International","A/B"
"35","NBC News/The Wall Street Journal","A-"
"36","University of Florida","A/B"
"37","Gordon S. Black Corp.","A/B"
"38","Fox News/Opinion Dynamics Corp.","A/B"
"39","Yankelovich Partners Inc.","A/B"
"40","Emerson College","A-"
"41","Harvard University","A/B"
"42","Public Policy Institute of California","A/B"
"43","University of Illinois at Chicago","A/B"
"44","Abt Associates","A/B"
"45","Winthrop University","A/B"
"46","RKM Research and Communications Inc.","A-"
"47","Georgetown University (Battleground)","A/B"
"48","Princeton Survey Research Associates International","A/B"
"49","Market Shares Corp.","A/B"
"50","Mason-Dixon Polling & Strategy","B+"
"51","CNN/Opinion Research Corp.","B+"
"52","Research & Polling Inc.","B+"
"53","Quinnipiac University","B+"
"54","EPIC-MRA","B+"
"55","Elway Research","A/B"
"56","St. Norbert College","A/B"
"57","University of North Florida","A/B"
"58","Elon University","A/B"
"59","National Research Inc.","A/B"
"60","Blum & Weprin Associates","A/B"
"61","Public Religion Research Institute","A/B"
"62","Middle Tennessee State University","A/B"
"63","Fleming & Associates","A/B"
"64","University of Massachusetts Lowell","A/B"
"65","Cygnal","A/B"
"66","Angus Reid Global","B+"
"67","Public Opinion Strategies","B+"
"68","Strategic Vision LLC","F"
"69","North Star Opinion Research/Ayres, McHenry & Associates","A/B"
"70","American Viewpoint","B/C"
"71","Landmark Communications","B"
"72","Ward Research (Honolulu Star-Advertiser)","B/C"
"73","University of Arkansas","B/C"
"74","Harstad Strategic Research Inc.","B/C"
"75","RT Strategies","B/C"
"76","Harper Polling","B/C"
"77","University of South Alabama","B/C"
"78","Public Policy Polling","B"
"79","GQR Research (GQRR)","B"
"80","University of Wisconsin (Badger Poll)","B/C"
"81","Gallup","B"
"82","Rutgers University","B/C"
"83","Pharos Research Group","F"
"84","Keating Research","B/C"
"85","American Research Group","B"
"86","Montana State University Billings","B/C"
"87","Greenberg Quinlan Rosner/American Viewpoint","B/C"
"88","Financial Dynamics","B/C"
"89","University of Washington","B/C"
"90","Market Research Institute Inc.","B/C"
"91","Iowa State University","B/C"
"92","McKeon & Associates","B/C"
"93","Christopher Newport University","B/C"
"94","Tarrance Group","B/C"
"95","Victory Research","B/C"
"96","SSRS","B/C"
"97","Orion Strategies","B/C"
"98","CJ&N","B/C"
"99","Marshall Marketing & Communications","B/C"
"100","YouGov","B"
"101","University of Massachusetts Amherst","B/C"
"102","Missouri State University","B/C"
"103","Northern Arizona University","B/C"
"104","Potomac Incorporated","B/C"
"105","Louisville Courier-Journal","B/C"
"106","Ethridge & Associates LLC","B/C"
"107","APC Research","B/C"
"108","Dittman Research","B/C"
"109","Franklin & Marshall College","B/C"
"110","SEA Polling & Strategic Design","B/C"
"111","Clemson University","B/C"
"112","Frederick Polls","B/C"
"113","University of New Hampshire","B-"
"114","Market Decisions","B/C"
"115","Park Street Strategies","B/C"
"116","Wiese Research Associates Inc.","B/C"
"117","GBAO","B/C"
"118","University of Wisconsin-Milwaukee","B/C"
"119","RBI Strategies & Research","B/C"
"120","Valley Research","B/C"
"121","Research Co.","B-"
"122","MSR Group","B/C"
"123","Richard Day Research Inc.","B/C"
"124","Lake Research Partners","B/C"
"125","Southern Media & Opinion Research","B/C"
