"","cycle","state","state_abb","party","vote_share","total_votes","election_day","incumbant_party","winning_party","state_winner","run_date"
"1",1948,"Alabama","AL","dem",0,0,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"2",1948,"Alabama","AL","rep",0.19038980370267,40930,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"3",1948,"Alabama","AL","dixiecrat",0.797483486835985,171443,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"4",1948,"Alabama","AL","progressive",0.00707972834682296,1522,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"5",1948,"Alabama","AL","socialist",0,0,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"6",1948,"Alabama","AL","other",0.00504698111452228,1085,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"7",1948,"Arizona","AZ","dem",0.537943692994098,95251,1948-11-07,"dem","dem","dem",2021-01-18
"8",1948,"Arizona","AZ","rep",0.438240194278937,77597,1948-11-07,"dem","dem","dem",2021-01-18
"9",1948,"Arizona","AZ","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"10",1948,"Arizona","AZ","progressive",0.0186937000536526,3310,1948-11-07,"dem","dem","dem",2021-01-18
"11",1948,"Arizona","AZ","socialist",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"12",1948,"Arizona","AZ","other",0.00512241267331206,907,1948-11-07,"dem","dem","dem",2021-01-18
"13",1948,"Arkansas","AR","dem",0.617214145788226,149659,1948-11-07,"dem","dem","dem",2021-01-18
"14",1948,"Arkansas","AR","rep",0.210161872357975,50959,1948-11-07,"dem","dem","dem",2021-01-18
"15",1948,"Arkansas","AR","dixiecrat",0.165245901639344,40068,1948-11-07,"dem","dem","dem",2021-01-18
"16",1948,"Arkansas","AR","progressive",0.00309722651819775,751,1948-11-07,"dem","dem","dem",2021-01-18
"17",1948,"Arkansas","AR","socialist",0.00427672955974843,1037,1948-11-07,"dem","dem","dem",2021-01-18
"18",1948,"Arkansas","AR","other",0.00000412413650891845,1,1948-11-07,"dem","dem","dem",2021-01-18
"19",1948,"California","CA","dem",0.475721975025475,1913134,1948-11-07,"dem","dem","dem",2021-01-18
"20",1948,"California","CA","rep",0.471279644752828,1895269,1948-11-07,"dem","dem","dem",2021-01-18
"21",1948,"California","CA","dixiecrat",0.000305355811632266,1228,1948-11-07,"dem","dem","dem",2021-01-18
"22",1948,"California","CA","progressive",0.0473403459074613,190381,1948-11-07,"dem","dem","dem",2021-01-18
"23",1948,"California","CA","socialist",0.000860118690908802,3459,1948-11-07,"dem","dem","dem",2021-01-18
"24",1948,"California","CA","other",0.00449255981169393,18067,1948-11-07,"dem","dem","dem",2021-01-18
"25",1948,"Colorado","CO","dem",0.518767091649086,267288,1948-11-07,"dem","dem","dem",2021-01-18
"26",1948,"Colorado","CO","rep",0.465249972342825,239714,1948-11-07,"dem","dem","dem",2021-01-18
"27",1948,"Colorado","CO","dixiecrat",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"28",1948,"Colorado","CO","progressive",0.0118683246738879,6115,1948-11-07,"dem","dem","dem",2021-01-18
"29",1948,"Colorado","CO","socialist",0.00325675368810858,1678,1948-11-07,"dem","dem","dem",2021-01-18
"30",1948,"Colorado","CO","other",0.000857857646092963,442,1948-11-07,"dem","dem","dem",2021-01-18
"31",1948,"Connecticut","CT","dem",0.479103991090165,423297,1948-11-07,"dem","dem","rep",2021-01-18
"32",1948,"Connecticut","CT","rep",0.495466985392488,437754,1948-11-07,"dem","dem","rep",2021-01-18
"33",1948,"Connecticut","CT","dixiecrat",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"34",1948,"Connecticut","CT","progressive",0.0155209061954595,13713,1948-11-07,"dem","dem","rep",2021-01-18
"35",1948,"Connecticut","CT","socialist",0.00788212577446074,6964,1948-11-07,"dem","dem","rep",2021-01-18
"36",1948,"Connecticut","CT","other",0.00202599154742744,1790,1948-11-07,"dem","dem","rep",2021-01-18
"37",1948,"Delaware","DE","dem",0.48760722785875,67813,1948-11-07,"dem","dem","rep",2021-01-18
"38",1948,"Delaware","DE","rep",0.500370309118233,69588,1948-11-07,"dem","dem","rep",2021-01-18
"39",1948,"Delaware","DE","dixiecrat",0,0,1948-11-07,"dem","dem","rep",2021-01-18
"40",1948,"Delaware","DE","progressive",0.00754999173096144,1050,1948-11-07,"dem","dem","rep",2021-01-18
"41",1948,"Delaware","DE","socialist",0.00179761707880034,250,1948-11-07,"dem","dem","rep",2021-01-18
"42",1948,"Delaware","DE","other",0.00267485421325491,372,1948-11-07,"dem","dem","rep",2021-01-18
"43",1948,"Florida","FL","dem",0.488170028893278,281988,1948-11-07,"dem","dem","dem",2021-01-18
"44",1948,"Florida","FL","rep",0.336332302131247,194280,1948-11-07,"dem","dem","dem",2021-01-18
"45",1948,"Florida","FL","dixiecrat",0.155381438016214,89755,1948-11-07,"dem","dem","dem",2021-01-18
"46",1948,"Florida","FL","progressive",0.0201162309592603,11620,1948-11-07,"dem","dem","dem",2021-01-18
"47",1948,"Florida","FL","socialist",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"48",1948,"Florida","FL","other",0,0,1948-11-07,"dem","dem","dem",2021-01-18
"49",1948,"Georgia","GA","dem",0.608089520589162,254646,1948-11-07,"dem","dem","dem",2021-01-18
"50",1948,"Georgia","GA","rep",0.183136563792494,76691,1948-11-07,"dem","dem","dem",2021-01-18
