"","cycle","state","state_abb","party","vote_share","total_votes","election_day","incumbant_party","winning_party","state_winner","run_date"
"1",1948,"Alabama","AL","dem",0,0,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"2",1948,"Alabama","AL","rep",0.19038980370267,40930,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"3",1948,"Alabama","AL","other",0.80961019629733,174050,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"4",1948,"Arizona","AZ","dem",0.537943692994098,95251,1948-11-07,"dem","dem","dem",2021-01-18
"5",1948,"Arizona","AZ","rep",0.438240194278937,77597,1948-11-07,"dem","dem","dem",2021-01-18
"6",1948,"Arizona","AZ","other",0.0238161127269647,4217,1948-11-07,"dem","dem","dem",2021-01-18
"7",1948,"Arkansas","AR","dem",0.617214145788226,149659,1948-11-07,"dem","dem","dem",2021-01-18
"8",1948,"Arkansas","AR","rep",0.210161872357975,50959,1948-11-07,"dem","dem","dem",2021-01-18
"9",1948,"Arkansas","AR","other",0.172623981853799,41857,1948-11-07,"dem","dem","dem",2021-01-18
"10",1948,"California","CA","dem",0.475721975025475,1913134,1948-11-07,"dem","dem","dem",2021-01-18
"11",1948,"California","CA","rep",0.471279644752828,1895269,1948-11-07,"dem","dem","dem",2021-01-18
"12",1948,"California","CA","other",0.0529983802216963,213135,1948-11-07,"dem","dem","dem",2021-01-18
"13",1948,"Colorado","CO","dem",0.518767091649086,267288,1948-11-07,"dem","dem","dem",2021-01-18
"14",1948,"Colorado","CO","rep",0.465249972342825,239714,1948-11-07,"dem","dem","dem",2021-01-18
"15",1948,"Colorado","CO","other",0.0159829360080895,8235,1948-11-07,"dem","dem","dem",2021-01-18
"16",1948,"Connecticut","CT","dem",0.479103991090165,423297,1948-11-07,"dem","dem","rep",2021-01-18
"17",1948,"Connecticut","CT","rep",0.495466985392488,437754,1948-11-07,"dem","dem","rep",2021-01-18
"18",1948,"Connecticut","CT","other",0.0254290235173477,22467,1948-11-07,"dem","dem","rep",2021-01-18
"19",1948,"Delaware","DE","dem",0.48760722785875,67813,1948-11-07,"dem","dem","rep",2021-01-18
"20",1948,"Delaware","DE","rep",0.500370309118233,69588,1948-11-07,"dem","dem","rep",2021-01-18
"21",1948,"Delaware","DE","other",0.0120224630230167,1672,1948-11-07,"dem","dem","rep",2021-01-18
"22",1948,"Florida","FL","dem",0.488170028893278,281988,1948-11-07,"dem","dem","dem",2021-01-18
"23",1948,"Florida","FL","rep",0.336332302131247,194280,1948-11-07,"dem","dem","dem",2021-01-18
"24",1948,"Florida","FL","other",0.175497668975474,101375,1948-11-07,"dem","dem","dem",2021-01-18
"25",1948,"Georgia","GA","dem",0.608089520589162,254646,1948-11-07,"dem","dem","dem",2021-01-18
"26",1948,"Georgia","GA","rep",0.183136563792494,76691,1948-11-07,"dem","dem","dem",2021-01-18
"27",1948,"Georgia","GA","other",0.208773915618344,87427,1948-11-07,"dem","dem","dem",2021-01-18
"28",1948,"Idaho","ID","dem",0.499823104424251,107370,1948-11-07,"dem","dem","dem",2021-01-18
"29",1948,"Idaho","ID","rep",0.472562565172054,101514,1948-11-07,"dem","dem","dem",2021-01-18
"30",1948,"Idaho","ID","other",0.0276143304036943,5932,1948-11-07,"dem","dem","dem",2021-01-18
"31",1948,"Illinois","IL","dem",0.500675695009546,1994715,1948-11-07,"dem","dem","dem",2021-01-18
"32",1948,"Illinois","IL","rep",0.492239045432708,1961103,1948-11-07,"dem","dem","dem",2021-01-18
"33",1948,"Illinois","IL","other",0.00708525955774607,28228,1948-11-07,"dem","dem","dem",2021-01-18
"34",1948,"Indiana","IN","dem",0.487758828267362,807833,1948-11-07,"dem","dem","rep",2021-01-18
"35",1948,"Indiana","IN","rep",0.495756587011099,821079,1948-11-07,"dem","dem","rep",2021-01-18
"36",1948,"Indiana","IN","other",0.0164845847215396,27302,1948-11-07,"dem","dem","rep",2021-01-18
"37",1948,"Iowa","IA","dem",0.503128298775649,522380,1948-11-07,"dem","dem","dem",2021-01-18
"38",1948,"Iowa","IA","rep",0.47581154696686,494018,1948-11-07,"dem","dem","dem",2021-01-18
"39",1948,"Iowa","IA","other",0.0210601542574914,21866,1948-11-07,"dem","dem","dem",2021-01-18
"40",1948,"Kansas","KS","dem",0.446112479542202,351902,1948-11-07,"dem","dem","rep",2021-01-18
"41",1948,"Kansas","KS","rep",0.53629413084624,423039,1948-11-07,"dem","dem","rep",2021-01-18
"42",1948,"Kansas","KS","other",0.0175933896115585,13878,1948-11-07,"dem","dem","rep",2021-01-18
"43",1948,"Kentucky","KY","dem",0.567375507197402,466756,1948-11-07,"dem","dem","dem",2021-01-18
"44",1948,"Kentucky","KY","rep",0.414765309521089,341210,1948-11-07,"dem","dem","dem",2021-01-18
"45",1948,"Kentucky","KY","other",0.0178591832815094,14692,1948-11-07,"dem","dem","dem",2021-01-18
"46",1948,"Louisiana","LA","dem",0.327485492486838,136344,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"47",1948,"Louisiana","LA","rep",0.174515295338381,72657,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"48",1948,"Louisiana","LA","other",0.497999212174782,207335,1948-11-07,"dem","dem","dixiecrat",2021-01-18
"49",1948,"Maine","ME","dem",0.42266425466507,111916,1948-11-07,"dem","dem","rep",2021-01-18
"50",1948,"Maine","ME","rep",0.567376797199258,150234,1948-11-07,"dem","dem","rep",2021-01-18
