"","cycle","state","state_abb","party","vote_share","total_votes","election_day","incumbant_party","winning_party","state_winner","run_date"
"1",1976,"Alabama","AL","dem",0.557272688844739,659170,"1976-11-02","rep","dem","dem",2021-01-11
"2",1976,"Alabama","AL","rep",0.426148708627468,504070.000000001,"1976-11-02","rep","dem","dem",2021-01-11
"3",1976,"Alabama","AL","other",0.0163182144819715,19302,"1976-11-02","rep","dem","dem",2021-01-11
"4",1976,"Alaska","AK","dem",0.356531309175069,44058,"1976-11-02","rep","dem","rep",2021-01-11
"5",1976,"Alaska","AK","rep",0.579045753961189,71555,"1976-11-02","rep","dem","rep",2021-01-11
"6",1976,"Alaska","AK","other",0.0549063718905271,6785,"1976-11-02","rep","dem","rep",2021-01-11
"7",1976,"Arizona","AZ","dem",0.397999781882515,295602,"1976-11-02","rep","dem","rep",2021-01-11
"8",1976,"Arizona","AZ","rep",0.563661357794805,418642,"1976-11-02","rep","dem","rep",2021-01-11
"9",1976,"Arizona","AZ","other",0.038309239429717,28453,"1976-11-02","rep","dem","rep",2021-01-11
"10",1976,"Arkansas","AR","dem",0.649617281296618,498604,"1976-11-02","rep","dem","dem",2021-01-11
"11",1976,"Arkansas","AR","rep",0.349043366100569,267903,"1976-11-02","rep","dem","dem",2021-01-11
"12",1976,"Arkansas","AR","other",0.0013393526028129,1028,"1976-11-02","rep","dem","dem",2021-01-11
"13",1976,"California","CA","dem",0.479548218361125,3742284,"1976-11-02","rep","dem","rep",2021-01-11
"14",1976,"California","CA","rep",0.497483139559469,3882244,"1976-11-02","rep","dem","rep",2021-01-11
"15",1976,"California","CA","other",0.0229686420794052,179242,"1976-11-02","rep","dem","rep",2021-01-11
"16",1976,"Colorado","CO","dem",0.426099459979287,460801,"1976-11-02","rep","dem","rep",2021-01-11
"17",1976,"Colorado","CO","rep",0.540277777777778,584278,"1976-11-02","rep","dem","rep",2021-01-11
"18",1976,"Colorado","CO","other",0.0336227622429353,36360.9999999999,"1976-11-02","rep","dem","rep",2021-01-11
"19",1976,"Connecticut","CT","dem",0.467337009640388,647895,"1976-11-02","rep","dem","rep",2021-01-11
"20",1976,"Connecticut","CT","rep",0.518814445073592,719261,"1976-11-02","rep","dem","rep",2021-01-11
"21",1976,"Connecticut","CT","other",0.0138485452860198,19199,"1976-11-02","rep","dem","rep",2021-01-11
"22",1976,"Delaware","DE","dem",0.519690887023536,122461,"1976-11-02","rep","dem","dem",2021-01-11
"23",1976,"Delaware","DE","rep",0.465876202035291,109780,"1976-11-02","rep","dem","dem",2021-01-11
"24",1976,"Delaware","DE","other",0.0144329109411735,3401.00000000001,"1976-11-02","rep","dem","dem",2021-01-11
"25",1976,"District of Columbia","DC","dem",0.816312266777232,137818,"1976-11-02","rep","dem","dem",2021-01-11
"26",1976,"District of Columbia","DC","rep",0.165095066042765,27873,"1976-11-02","rep","dem","dem",2021-01-11
"27",1976,"District of Columbia","DC","other",0.0168868092163715,2851,"1976-11-02","rep","dem","dem",2021-01-11
"28",1976,"Florida","FL","dem",0.519261062307836,1636000,"1976-11-02","rep","dem","dem",2021-01-11
"29",1976,"Florida","FL","rep",0.46642434483759,1469531,"1976-11-02","rep","dem","dem",2021-01-11
"30",1976,"Florida","FL","other",0.0142726964852438,44968.0000000002,"1976-11-02","rep","dem","dem",2021-01-11
